image_id,filename,folder_id,cvat_label,pak_jos,pak_handy,pak_aris,pak_legiso,pruning_count,underpruning_count,majority_vote
108,frame_000104_gyc8jh,1,ragu,-,-,pruning,pruning,2,0,pruning
107,frame_000106_pp399r,1,ragu,-,-,underpruning,underpruning,0,2,underpruning
106,frame_000147_ahhfjx,1,ragu,-,-,underpruning,pruning,1,1,tie
104,frame_000399_sowfh7,1,ragu,-,-,pruning,-,1,0,pruning
103,frame_000400_wrrj5f,1,ragu,-,-,pruning,-,1,0,pruning
101,frame_000401_qrn7nb,1,ragu,underpruning,pruning,underpruning,-,1,2,underpruning
102,frame_000402_mual3w,1,ragu,-,-,pruning,-,1,0,pruning
3,frame_000552_yrtsk1,1,pruning,-,-,-,pruning,1,0,pruning
2,frame_000557_bbox1_ttc04n,1,pruning,pruning,-,-,pruning,2,0,pruning
4,frame_000580_bbox0_arpedt,1,pruning,-,-,-,pruning,1,0,pruning
1,frame_000580_bbox1_ixb236,1,pruning,pruning,underpruning,-,pruning,2,1,pruning
247,frame_000098_w4ur9w,2,ragu,-,-,underpruning,pruning,1,1,tie
246,frame_000132_ikmkzc,2,ragu,-,-,underpruning,pruning,1,1,tie
245,frame_000133_qypv8s,2,ragu,-,-,underpruning,pruning,1,1,tie
244,frame_000228_hje0tk,2,ragu,-,-,pruning,pruning,2,0,pruning
241,frame_000229_uiz2sr,2,ragu,-,-,pruning,pruning,2,0,pruning
243,frame_000230_eqbctx,2,ragu,-,-,pruning,pruning,2,0,pruning
242,frame_000238_yjaipb,2,ragu,-,-,pruning,pruning,2,0,pruning
240,frame_000239_wub3xs,2,ragu,-,-,-,pruning,1,0,pruning
239,frame_000240_d8bzwe,2,ragu,-,-,-,pruning,1,0,pruning
238,frame_000241_wsm0wo,2,ragu,-,-,-,pruning,1,0,pruning
320,frame_000033_yd7yzr,3,ragu,-,-,-,pruning,1,0,pruning
319,frame_000034_kmiygg,3,ragu,-,-,-,pruning,1,0,pruning
318,frame_000068_l1boht,3,ragu,-,-,-,underpruning,0,1,underpruning
317,frame_000069_epszgn,3,ragu,-,-,-,underpruning,0,1,underpruning
316,frame_000070_hmcewd,3,ragu,-,-,-,underpruning,0,1,underpruning
315,frame_000071_ltyqdf,3,ragu,-,-,-,underpruning,0,1,underpruning
314,frame_000072_fbvl4s,3,ragu,-,-,-,underpruning,0,1,underpruning
313,frame_000073_rlkv5g,3,ragu,-,-,-,underpruning,0,1,underpruning
312,frame_000074_mjsl8w,3,ragu,-,-,-,underpruning,0,1,underpruning
311,frame_000075_roxh1e,3,ragu,-,-,-,underpruning,0,1,underpruning
310,frame_000076_gti3t5,3,ragu,-,-,-,underpruning,0,1,underpruning
309,frame_000120_bbox1_wlxwfo,3,ragu,-,-,-,pruning,1,0,pruning
308,frame_000121_c7sxkn,3,ragu,-,-,-,pruning,1,0,pruning
307,frame_000122_udj9ld,3,ragu,-,-,-,pruning,1,0,pruning
306,frame_000123_yvbtdq,3,ragu,-,-,-,pruning,1,0,pruning
305,frame_000124_tpj5cp,3,ragu,-,-,-,pruning,1,0,pruning
304,frame_000138_u3p00r,3,ragu,-,-,-,pruning,1,0,pruning
303,frame_000184_pk6bui,3,ragu,-,-,-,underpruning,0,1,underpruning
302,frame_000185_x5mjtk,3,ragu,-,-,-,underpruning,0,1,underpruning
301,frame_000186_m1ey7r,3,ragu,-,-,-,underpruning,0,1,underpruning
300,frame_000209_epvddx,3,ragu,-,-,-,underpruning,0,1,underpruning
299,frame_000210_zydthb,3,ragu,-,-,underpruning,underpruning,0,2,underpruning
298,frame_000227_jvonf9,3,ragu,-,-,underpruning,pruning,1,1,tie
297,frame_000228_xbxglz,3,ragu,-,-,pruning,pruning,2,0,pruning
296,frame_000229_yvpjls,3,ragu,-,-,pruning,pruning,2,0,pruning
295,frame_000258_bbox1_ch3est,3,ragu,-,-,underpruning,underpruning,0,2,underpruning
294,frame_000280_rvaerl,3,ragu,-,-,underpruning,pruning,1,1,tie
293,frame_000302_hw6dnl,3,ragu,-,-,pruning,pruning,2,0,pruning
292,frame_000377_ziprk9,3,ragu,-,-,pruning,pruning,2,0,pruning
291,frame_000378_oxypwg,3,ragu,-,-,pruning,pruning,2,0,pruning
290,frame_000408_ogh6vm,3,ragu,-,-,pruning,pruning,2,0,pruning
289,frame_000417_bbox0_uolgog,3,ragu,-,-,pruning,pruning,2,0,pruning
288,frame_000417_bbox1_cyfvkh,3,ragu,-,-,pruning,pruning,2,0,pruning
287,frame_000418_mzbtya,3,ragu,-,-,pruning,pruning,2,0,pruning
286,frame_000419_ewwrcm,3,ragu,-,-,pruning,pruning,2,0,pruning
285,frame_000438_nrvd9a,3,ragu,-,-,pruning,underpruning,1,1,tie
284,frame_000439_oi3zru,3,ragu,-,-,pruning,underpruning,1,1,tie
283,frame_000442_bbox0_yaqpxl,3,ragu,-,-,underpruning,pruning,1,1,tie
282,frame_000442_bbox1_aqkjs0,3,ragu,-,-,underpruning,pruning,1,1,tie
281,frame_000443_vncnsf,3,ragu,-,-,underpruning,pruning,1,1,tie
280,frame_000458_zwp1b6,3,ragu,-,-,pruning,pruning,2,0,pruning
504,frame_000065_aagtmg,4,ragu,-,-,-,pruning,1,0,pruning
503,frame_000155_urnxen,4,ragu,-,-,-,pruning,1,0,pruning
502,frame_000156_n4svqa,4,ragu,-,-,-,pruning,1,0,pruning
500,frame_000168_do7jzj,4,ragu,-,-,-,underpruning,0,1,underpruning
499,frame_000186_okfao3,4,ragu,-,-,-,pruning,1,0,pruning
498,frame_000192_dajc66,4,ragu,-,-,-,underpruning,0,1,underpruning
497,frame_000267_ryf9ui,4,ragu,-,-,-,pruning,1,0,pruning
496,frame_000299_okjtgw,4,ragu,-,-,-,pruning,1,0,pruning
495,frame_000319_djrytl,4,ragu,-,-,-,pruning,1,0,pruning
494,frame_000332_xwzzxt,4,ragu,-,-,-,pruning,1,0,pruning
493,frame_000333_fmfkgz,4,ragu,-,-,-,pruning,1,0,pruning
492,frame_000340_eyfv2r,4,ragu,-,-,-,pruning,1,0,pruning
491,frame_000376_qe15zh,4,ragu,-,-,-,underpruning,0,1,underpruning
490,frame_000377_y7a4me,4,ragu,-,-,-,underpruning,0,1,underpruning
489,frame_000389_luhsok,4,ragu,-,-,-,pruning,1,0,pruning
488,frame_000390_b2cvfj,4,ragu,-,-,-,pruning,1,0,pruning
487,frame_000391_jw8oah,4,ragu,-,-,-,pruning,1,0,pruning
486,frame_000392_x8sjad,4,ragu,-,-,-,pruning,1,0,pruning
485,frame_000401_rkfdz4,4,ragu,-,-,-,pruning,1,0,pruning
484,frame_000445_tsxltb,4,ragu,-,-,-,underpruning,0,1,underpruning
483,frame_000461_fgmy4g,4,ragu,-,-,-,pruning,1,0,pruning
482,frame_000462_b1scnz,4,ragu,-,-,-,pruning,1,0,pruning
481,frame_000463_qqxy6k,4,ragu,-,-,-,pruning,1,0,pruning
480,frame_000566_asakav,4,ragu,-,-,-,pruning,1,0,pruning
599,frame_000045_xj29cm,5,ragu,-,-,-,underpruning,0,1,underpruning
598,frame_000114_bbox0_sbofl1,5,ragu,-,-,-,underpruning,0,1,underpruning
597,frame_000118_oytybq,5,ragu,-,-,-,pruning,1,0,pruning
596,frame_000119_ziw5nv,5,ragu,-,-,-,pruning,1,0,pruning
595,frame_000120_efv3c2,5,ragu,-,-,-,pruning,1,0,pruning
594,frame_000202_bpkjvy,5,ragu,-,-,-,pruning,1,0,pruning
593,frame_000212_n43ycr,5,ragu,-,-,-,pruning,1,0,pruning
592,frame_000213_i8aifa,5,ragu,-,-,-,pruning,1,0,pruning
591,frame_000214_t5k72g,5,ragu,-,-,-,pruning,1,0,pruning
590,frame_000219_hzovsk,5,ragu,-,-,-,pruning,1,0,pruning
589,frame_000246_vnnicl,5,ragu,-,-,-,pruning,1,0,pruning
588,frame_000247_qnzfvv,5,ragu,-,-,-,pruning,1,0,pruning
587,frame_000267_eee4v3,5,ragu,-,-,-,underpruning,0,1,underpruning
586,frame_000268_syiaxm,5,ragu,-,-,-,underpruning,0,1,underpruning
585,frame_000269_nxok1z,5,ragu,-,-,-,underpruning,0,1,underpruning
584,frame_000270_vyfq4d,5,ragu,-,-,-,underpruning,0,1,underpruning
